----------------------vibration demo------------------------
measurment = 0
measurment = 93
measurment = 248
measurment = 17
measurment = 869
measurment = 73
measurment = 238
measurment = 63
measurment = 72
measurment = 44
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 11
measurment = 42
measurment = 10
measurment = 2
measurment = 5
measurment = 0
measurment = 0
measurment = 0
measurment = 60
measurment = 2
measurment = 110
measurment = 105
measurment = 14
measurment = 0
measurment = 0
measurment = 8
measurment = 127
measurment = 0
measurment = 2
measurment = 0
measurment = 11
measurment = 162
measurment = 2
measurment = 5
measurment = 82
measurment = 329783
measurment = 0
measurment = 0
measurment = 74
measurment = 8
measurment = 843
measurment = 77
measurment = 0
measurment = 2
measurment = 199
measurment = 18016
measurment = 111
measurment = 6
measurment = 2399
measurment = 2
measurment = 2
measurment = 0
measurment = 72
measurment = 0
measurment = 13099
measurment = 21
measurment = 0
measurment = 188
measurment = 141
measurment = 5
measurment = 125
measurment = 33
measurment = 133
measurment = 0
measurment = 0
measurment = 299531
measurment = 169
measurment = 158
measurment = 4
measurment = 248
measurment = 3
measurment = 77
measurment = 0
measurment = 30
measurment = 17
measurment = 68
measurment = 153
measurment = 2
measurment = 3
measurment = 17362
measurment = 13
measurment = 0
measurment = 15
measurment = 0
measurment = 39
measurment = 3
measurment = 0
measurment = 3
measurment = 22013
measurment = 0
measurment = 0
measurment = 0
measurment = 37
measurment = 74
measurment = 12
measurment = 142
measurment = 82
measurment = 79
measurment = 75
measurment = 18
measurment = 3
measurment = 21
measurment = 12
measurment = 0
measurment = 15
measurment = 4
measurment = 180
measurment = 51
measurment = 284228
measurment = 3
measurment = 10
measurment = 2
measurment = 18772
measurment = 13
measurment = 3100
measurment = 0
measurment = 2
measurment = 116
measurment = 6
measurment = 13
measurment = 32
measurment = 350202
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 3
measurment = 75
measurment = 0
measurment = 5
measurment = 65
measurment = 2
measurment = 3
measurment = 0
measurment = 5
measurment = 73
measurment = 78
measurment = 0
measurment = 0
measurment = 0
measurment = 67073
measurment = 57
measurment = 3
measurment = 6
measurment = 58
measurment = 18103
measurment = 125
measurment = 99
measurment = 2
measurment = 0
measurment = 341168
measurment = 29856
measurment = 80
measurment = 348610
measurment = 308
measurment = 14
measurment = 6
measurment = 3
measurment = 3
measurment = 53
measurment = 0
measurment = 166
measurment = 17
measurment = 64
measurment = 15263
measurment = 105
measurment = 1866
measurment = 11
measurment = 1544
measurment = 5
measurment = 163
measurment = 7131
measurment = 0
measurment = 128
measurment = 45384
measurment = 106
measurment = 9
measurment = 51
measurment = 128
measurment = 207
measurment = 4
measurment = 0
measurment = 0
measurment = 0
measurment = 151
measurment = 27
measurment = 3
measurment = 5
measurment = 101
measurment = 25
measurment = 0
measurment = 758654
measurment = 18
measurment = 0
measurment = 0
measurment = 7
measurment = 2
measurment = 2
measurment = 18
measurment = 3
measurment = 741
measurment = 131
measurment = 14
measurment = 1547
measurment = 247
measurment = 9
measurment = 39
measurment = 334000
measurment = 64
measurment = 902
measurment = 134
measurment = 3
measurment = 0
measurment = 74
measurment = 0
measurment = 13
measurment = 2
measurment = 15
measurment = 132
measurment = 7
measurment = 0
measurment = 9
measurment = 19
measurment = 6
measurment = 74
measurment = 164
measurment = 74
measurment = 15
measurment = 1354
measurment = 39
measurment = 281
measurment = 0
measurment = 5
measurment = 1623
measurment = 27940
measurment = 66
measurment = 2446
measurment = 6
measurment = 4
measurment = 35
measurment = 34838
measurment = 14214
measurment = 5
measurment = 2209
measurment = 6
measurment = 15
measurment = 0
measurment = 0
measurment = 0
measurment = 109
measurment = 12705
measurment = 12146
measurment = 5
measurment = 17159
measurment = 52
measurment = 488
measurment = 7008
measurment = 2005
measurment = 96
measurment = 4
measurment = 11
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 8
measurment = 0
measurment = 49
measurment = 7
measurment = 0
measurment = 31916
measurment = 105
measurment = 141
measurment = 22
measurment = 155
measurment = 13003
measurment = 89
measurment = 17
measurment = 0
measurment = 81
measurment = 7
measurment = 29006
measurment = 0
measurment = 17374
measurment = 19581
measurment = 0
measurment = 2
measurment = 9
measurment = 28
measurment = 2
measurment = 2253
measurment = 11
measurment = 2
measurment = 14
measurment = 50
measurment = 63
measurment = 17
measurment = 27
measurment = 0
measurment = 6
measurment = 0
measurment = 13
measurment = 2
measurment = 75
measurment = 59
measurment = 74
measurment = 7
measurment = 141
measurment = 0
measurment = 133
measurment = 4
measurment = 1585
measurment = 19607
measurment = 45
measurment = 3
measurment = 0
measurment = 104
measurment = 4
measurment = 192
measurment = 0
measurment = 66
measurment = 10
measurment = 84
measurment = 8
measurment = 168
measurment = 70
measurment = 925
measurment = 20
measurment = 3
measurment = 34
measurment = 21
measurment = 50
measurment = 110
measurment = 0
measurment = 2
measurment = 17
measurment = 2
measurment = 736
measurment = 0
measurment = 0
measurment = 0
measurment = 279178
measurment = 1344
measurment = 12
measurment = 76
measurment = 0
measurment = 53
measurment = 12
measurment = 25
measurment = 25
measurment = 42825
measurment = 49647
measurment = 48
measurment = 62
measurment = 0
measurment = 158
measurment = 0
measurment = 115
measurment = 2
measurment = 35
measurment = 0
measurment = 2
measurment = 44
measurment = 6
measurment = 110
measurment = 375625
measurment = 172
measurment = 4
measurment = 4
measurment = 0
measurment = 8
measurment = 20
measurment = 3
measurment = 14
measurment = 8
