rm----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 0
measurment = 62
measurment = 0
measurment = 69
measurment = 297
measurment = 0
measurment = 18
measurment = 12
measurment = 9054
measurment = 12
measurment = 0
measurment = 0
measurment = 120
measurment = 2
measurment = 20195
measurment = 1388
measurment = 23
measurment = 23174
measurment = 558
measurment = 66
measurment = 16
measurment = 17
measurment = 0
measurment = 287721
measurment = 11576
measurment = 3
measurment = 2
measurment = 2
measurment = 154
measurment = 11
measurment = 2
measurment = 16
measurment = 71
measurment = 253
measurment = 124585
measurment = 496
measurment = 4
measurment = 26
measurment = 6
measurment = 0
measurment = 0
measurment = 7
measurment = 78
measurment = 1581
measurment = 85
measurment = 94
measurment = 166
measurment = 151
measurment = 27
measurment = 17
measurment = 7
measurment = 119
measurment = 0
measurment = 17
measurment = 106
measurment = 5
measurment = 15
measurment = 7
measurment = 153
measurment = 116
measurment = 113
measurment = 0
measurment = 16
measurment = 130
measurment = 246
measurment = 4
measurment = 0
measurment = 83
measurment = 1313
measurment = 5
measurment = 15986
measurment = 55
measurment = 7
measurment = 2
measurment = 5
measurment = 0
measurment = 0
measurment = 169
measurment = 265940
measurment = 14851
measurment = 3
measurment = 125
measurment = 11
measurment = 15427
measurment = 16
measurment = 226
measurment = 0
measurment = 5
measurment = 0
measurment = 0
measurment = 62
measurment = 5
measurment = 141
measurment = 2
measurment = 36
measurment = 12873
measurment = 3
measurment = 46
measurment = 4
measurment = 0
measurment = 8
measurment = 694
measurment = 23
measurment = 0
measurment = 9
measurment = 2
measurment = 5
measurment = 9
measurment = 12
measurment = 0
measurment = 2
measurment = 14
measurment = 45
measurment = 19037
measurment = 0
measurment = 13
measurment = 7
measurment = 18126
measurment = 9
measurment = 88
measurment = 148
measurment = 0
measurment = 16
measurment = 0
measurment = 4
measurment = 69
measurment = 82
measurment = 131
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 17
measurment = 3
measurment = 11
measurment = 430
measurment = 14
measurment = 248
measurment = 83
measurment = 66
measurment = 231685
measurment = 35459
measurment = 5
measurment = 15
measurment = 2055
measurment = 106
measurment = 2
measurment = 1742
measurment = 114
measurment = 10
measurment = 42
measurment = 2
measurment = 4
measurment = 22
measurment = 247
measurment = 36
measurment = 128
measurment = 13
measurment = 500
measurment = 4
measurment = 47
measurment = 7
measurment = 9109
measurment = 21
measurment = 6
measurment = 0
measurment = 793
measurment = 2
measurment = 132
measurment = 1341
measurment = 32
measurment = 1352
measurment = 8763
measurment = 21484
measurment = 301
measurment = 16
measurment = 1224
measurment = 14
measurment = 28
measurment = 50
measurment = 125
measurment = 69253
measurment = 2
measurment = 7
measurment = 2
measurment = 8
measurment = 0
measurment = 16
measurment = 155
measurment = 0
measurment = 2
measurment = 3
measurment = 91
measurment = 6
measurment = 19767
measurment = 7
measurment = 0
measurment = 1121
measurment = 0
measurment = 69
measurment = 843
measurment = 63
measurment = 89
measurment = 163
measurment = 2
measurment = 16
measurment = 202025
measurment = 107
measurment = 1583
measurment = 1291
measurment = 53
measurment = 301640
measurment = 120
measurment = 15
measurment = 2
measurment = 16
measurment = 0
measurment = 27
measurment = 229
measurment = 215
measurment = 11
measurment = 13
measurment = 0
measurment = 5
measurment = 0
measurment = 16456
measurment = 67
measurment = 67
measurment = 0
measurment = 95
measurment = 12
measurment = 50
measurment = 12
measurment = 81
measurment = 214
measurment = 10
measurment = 15
measurment = 403952
measurment = 3
measurment = 16
measurment = 130
measurment = 15
measurment = 22790
measurment = 164
measurment = 55
measurment = 4
measurment = 33871
measurment = 17
measurment = 6
measurment = 8
measurment = 6
measurment = 0
measurment = 0
measurment = 19631
measurment = 21
measurment = 96
measurment = 10974
measurment = 3
measurment = 0
measurment = 97
measurment = 2
measurment = 17827
measurment = 10
measurment = 19661
measurment = 14
measurment = 6
measurment = 159
measurment = 17450
measurment = 46113
measurment = 3
measurment = 105
measurment = 15
measurment = 29099
measurment = 12
measurment = 82
measurment = 78
measurment = 156
measurment = 115
measurment = 124
measurment = 4
measurment = 241
measurment = 96
measurment = 9
measurment = 1509
measurment = 644
measurment = 24365
measurment = 2
measurment = 156
measurment = 13
measurment = 192
measurment = 20
measurment = 116
measurment = 10
measurment = 237
measurment = 286587
measurment = 15
measurment = 22698
measurment = 137
measurment = 1449
measurment = 258923
measurment = 65
measurment = 141
measurment = 1188
measurment = 4
measurment = 36
measurment = 3
measurment = 3
measurment = 55
measurment = 2
measurment = 0
measurment = 13
measurment = 42489
measurment = 2
measurment = 74
measurment = 17883
measurment = 0
measurment = 10
measurment = 0
measurment = 0
measurment = 29
measurment = 11
measurment = 4
measurment = 0
measurment = 8
measurment = 3
measurment = 2
measurment = 199
measurment = 10
measurment = 14
measurment = 2
measurment = 58
measurment = 7
measurment = 76
measurment = 401572
measurment = 0
measurment = 664
measurment = 415
measurment = 2
measurment = 25
measurment = 13
measurment = 18
measurment = 29702
measurment = 196
measurment = 34
measurment = 10
measurment = 44
measurment = 0
measurment = 4
measurment = 0
measurment = 5
measurment = 781
measurment = 94
measurment = 61
measurment = 0
measurment = 4
measurment = 8
measurment = 66
measurment = 25990
measurment = 289878
measurment = 5
measurment = 120
measurment = 249
measurment = 2
measurment = 2
measurment = 0
measurment = 3
measurment = 64
measurment = 91
measurment = 18949
measurment = 123
measurment = 70
measurment = 292069
measurment = 21243
measurment = 34
measurment = 0
measurment = 5220
measurment = 3
measurment = 9349
measurment = 172302
measurment = 11
measurment = 11974
measurment = 16
measurment = 144
measurment = 43
measurment = 0
measurment = 61
measurment = 5
measurment = 21521
measurment = 3
measurment = 2
measurment = 20
measurment = 38
measurment = 2
measurment = 6
measurment = 0
measurment = 10
measurment = 455
measurment = 78
measurment = 255022
measurment = 217
measurment = 159
measurment = 3
measurment = 69
measurment = 11343
measurment = 0
measurment = 15
measurment = 24
measurment = 261
measurment = 9
measurment = 0
measurment = 15
measurment = 14
measurment = 73
measurment = 4
measurment = 74168
measurment = 3
measurment = 97
measurment = 20
measurment = 61859
measurment = 56
measurment = 0
measurment = 0
measurment = 2
measurment = 702
measurment = 0
measurment = 2
measurment = 99
measurment = 90
measurment = 22955
measurment = 6349
measurment = 5803
measurment = 2
measurment = 0
measurment = 16
measurment = 5762
measurment = 4
measurment = 9571
measurment = 2
measurment = 0
measurment = 3
measurment = 13
measurment = 0
measurment = 5950
measurment = 50
measurment = 171
measurment = 6
measurment = 4
measurment = 63
measurment = 3
measurment = 121
measurment = 18
measurment = 12
measurment = 0
measurment = 24792
measurment = 27
measurment = 51
measurment = 38
measurment = 36
measurment = 65
measurment = 168
measurment = 58
measurment = 98
measurment = 0
measurment = 4
measurment = 9
measurment = 282884
measurment = 10149
measurment = 69
measurment = 18030
measurment = 26
measurment = 55
measurment = 319106
measurment = 12039
measurment = 11
measurment = 8
measurment = 2
measurment = 0
measurment = 3
measurment = 3
measurment = 2
measurment = 111
measurment = 12021
measurment = 3
measurment = 0
measurment = 813
measurment = 0
measurment = 4
measurment = 3
measurment = 2
measurment = 13
measurment = 5
measurment = 125
measurment = 11
measurment = 861
measurment = 3
measurment = 2225
measurment = 0
measurment = 2
measurment = 32
measurment = 138
measurment = 10
measurment = 2
measurment = 2
measurment = 41
measurment = 96
measurment = 4
measurment = 69
measurment = 79
measurment = 461
measurment = 293276
measurment = 7
measurment = 32
measurment = 14
measurment = 2
measurment = 44289
measurment = 13975
measurment = 22
measurment = 0
measurment = 53
measurment = 2
measurment = 111
measurment = 0
measurment = 0
measurment = 330192
measurment = 98
measurment = 5
measurment = 167
measurment = 4
measurment = 43
measurment = 27954
measurment = 915
measurment = 9
measurment = 13
measurment = 6
measurment = 0
measurment = 3
measurment = 22
measurment = 279043
measurment = 3
measurment = 28278
measurment = 0
measurment = 3
measurment = 187
measurment = 18
measurment = 29
measurment = 0
measurment = 7991
measurment = 16
measurment = 0
measurment = 2
measurment = 10893
measurment = 50
measurment = 98
measurment = 11
measurment = 22
measurment = 3
measurment = 85
measurment = 25
measurment = 43
measurment = 9
measurment = 10
measurment = 13483
measurment = 137
measurment = 3
measurment = 6
measurment = 39
measurment = 9
measurment = 0
measurment = 35
measurment = 109
measurment = 1257
measurment = 1495
measurment = 3
measurment = 2
measurment = 0
measurment = 2
measurment = 0
measurment = 1154
measurment = 51
measurment = 20896
measurment = 30
measurment = 10
measurment = 731
measurment = 2
measurment = 16
measurment = 16
measurment = 160
measurment = 3
measurment = 5
measurment = 10
measurment = 16
measurment = 5
measurment = 316
measurment = 28
measurment = 3
measurment = 2
measurment = 104
measurment = 0
measurment = 0
measurment = 713
measurment = 54
measurment = 52401
measurment = 24943
measurment = 63
measurment = 4
measurment = 116
measurment = 39
measurment = 14
measurment = 0
measurment = 7367
measurment = 13
measurment = 79
measurment = 37543
measurment = 119
measurment = 5
measurment = 163
measurment = 2
measurment = 65
measurment = 0
measurment = 19656
measurment = 3
measurment = 208
measurment = 4
measurment = 0
measurment = 334727
measurment = 2
measurment = 9
measurment = 14
measurment = 0
measurment = 4
measurment = 441
measurment = 4
measurment = 10
measurment = 18079
measurment = 1191
measurment = 0
measurment = 32
measurment = 835
measurment = 6
measurment = 43
measurment = 18810
measurment = 18
measurment = 38
measurment = 7647
measurment = 227
measurment = 5
measurment = 29
