----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 7699
measurment = 2
measurment = 2
measurment = 6
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 4
measurment = 25
measurment = 0
measurment = 11
measurment = 218
measurment = 0
measurment = 0
measurment = 3
measurment = 0
measurment = 0
measurment = 2
measurment = 51
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 44932
measurment = 525267
measurment = 146671
measurment = 3
measurment = 2
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 657
measurment = 12
measurment = 9
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 0
measurment = 7
measurment = 49582
measurment = 0
measurment = 0
measurment = 14
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 11
measurment = 10
measurment = 0
measurment = 14
measurment = 0
measurment = 0
measurment = 0
----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 5
measurment = 0
measurment = 0
measurment = 0
measurment = 0
----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 5
measurment = 5
measurment = 19
measurment = 7
measurment = 136
measurment = 2
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 7
measurment = 9
measurment = 4
measurment = 59
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 4
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 22
measurment = 20
measurment = 0
measurment = 18
measurment = 147610
measurment = 0
measurment = 2
measurment = 7
measurment = 0
measurment = 373326
measurment = 0
measurment = 0
measurment = 0
measurment = 0
^----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 0
measurment = 5
measurment = 60
measurment = 7
measurment = 2
measurment = 22703
measurment = 14
measurment = 2
measurment = 5
measurment = 9
measurment = 0
----------------------vibration demo------------------------
measurment = 0
----------------------vibration demo------------------------
measurment = 0
----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 113935
measurment = 7
measurment = 25
measurment = 75
measurment = 98
measurment = 0
measurment = 0
measurment = 2
measurment = 0
----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 5
measurment = 0
measurment = 6
measurment = 69
measurment = 3
measurment = 78
measurment = 0
measurment = 0
measurment = 0
measurment = 5
measurment = 11
measurment = 0
measurment = 29
measurment = 0
measurment = 14
measurment = 0
measurment = 0
measurment = 0
measurment = 4
measurment = 3
measurment = 23729
measurment = 105
measurment = 2
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 23355
measurment = 15
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 29
measurment = 0
measurment = 0
measurment = 9
measurment = 6
measurment = 0
measurment = 0
measurment = 0
measurment = 8
measurment = 2
measurment = 426
measurment = 0
measurment = 12
measurment = 126
measurment = 0
measurment = 0
measurment = 5
measurment = 8
measurment = 9
measurment = 0
measurment = 0
measurment = 2
measurment = 6
measurment = 19697
measurment = 0
measurment = 0
measurment = 8
measurment = 46587
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 100
measurment = 84
measurment = 0
measurment = 0
measurment = 3
measurment = 75
measurment = 2
measurment = 4
measurment = 23434
measurment = 18
measurment = 20265
measurment = 0
measurment = 5
measurment = 0
measurment = 0
measurment = 42
measurment = 0
measurment = 3
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 84
measurment = 5
measurment = 135
measurment = 0
measurment = 3
measurment = 7
measurment = 0
measurment = 161
measurment = 2
measurment = 0
measurment = 7
measurment = 0
measurment = 3
measurment = 78
measurment = 0
measurment = 2
measurment = 5285
measurment = 5
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
