----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 13
measurment = 0
measurment = 0
measurment = 5
measurment = 0
measurment = 15
measurment = 0
measurment = 0
measurment = 7
measurment = 13
measurment = 135
measurment = 2
measurment = 0
measurment = 15
measurment = 15
measurment = 0
measurment = 20
measurment = 17
measurment = 70
measurment = 14
measurment = 2
measurment = 14
measurment = 12
measurment = 13
measurment = 14
measurment = 2
measurment = 7
measurment = 1160
measurment = 13
measurment = 4
measurment = 43
measurment = 121
measurment = 5
measurment = 0
measurment = 123
measurment = 4
measurment = 61
measurment = 3
measurment = 1085
measurment = 91
measurment = 6
measurment = 2
measurment = 575
measurment = 2
measurment = 0
measurment = 1006
measurment = 7
measurment = 37
measurment = 141
measurment = 0
measurment = 0
measurment = 2
measurment = 20
measurment = 3
measurment = 0
measurment = 0
measurment = 131
measurment = 60
measurment = 231
measurment = 125
measurment = 2
measurment = 11
measurment = 149
measurment = 77790
measurment = 2
measurment = 731
measurment = 17
measurment = 2
measurment = 0
measurment = 18
measurment = 81
measurment = 116
measurment = 158
measurment = 0
measurment = 13
measurment = 168
measurment = 0
measurment = 0
measurment = 66
measurment = 87
measurment = 0
measurment = 0
measurment = 2
measurment = 12
measurment = 151303
measurment = 8
measurment = 8
measurment = 0
measurment = 30
measurment = 23216
measurment = 42
measurment = 34
measurment = 394
measurment = 0
measurment = 0
measurment = 657
measurment = 17
measurment = 37
measurment = 134
measurment = 8555
measurment = 0
measurment = 4
measurment = 2
measurment = 200
measurment = 3
measurment = 10
measurment = 77
measurment = 1183
measurment = 1407
measurment = 7
measurment = 225
measurment = 108383
measurment = 45
measurment = 0
measurment = 70
measurment = 3
measurment = 2
measurment = 41
measurment = 28
measurment = 30
measurment = 2
measurment = 130
measurment = 8
measurment = 139
measurment = 12
measurment = 0
measurment = 8
measurment = 9
measurment = 50897
measurment = 115
measurment = 22608
measurment = 5
measurment = 12
measurment = 14
measurment = 77
measurment = 0
measurment = 19497
measurment = 5
measurment = 1779
measurment = 10
measurment = 3
measurment = 25809
measurment = 42
measurment = 7
measurment = 5
measurment = 0
measurment = 8
measurment = 2
measurment = 3
measurment = 99
measurment = 4
measurment = 34
measurment = 111
measurment = 10
measurment = 2
measurment = 4
measurment = 10
measurment = 68671
measurment = 40
measurment = 12
measurment = 2
measurment = 631
measurment = 105380
measurment = 34
measurment = 23
measurment = 0
measurment = 42
measurment = 5
measurment = 9
measurment = 8
measurment = 0
measurment = 251
measurment = 13
measurment = 153
measurment = 20
measurment = 77
measurment = 65
measurment = 2
measurment = 496
measurment = 1676
measurment = 7
measurment = 354
measurment = 5
measurment = 2
measurment = 14
measurment = 177
measurment = 6
measurment = 10
measurment = 4
measurment = 127
measurment = 0
measurment = 6
measurment = 0
measurment = 1489
measurment = 0
measurment = 17
measurment = 7
measurment = 0
measurment = 0
measurment = 2
measurment = 12
measurment = 0
measurment = 4
measurment = 17
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 13
measurment = 3
measurment = 48
measurment = 0
measurment = 61
measurment = 0
measurment = 232222
measurment = 3
measurment = 1514
measurment = 0
measurment = 41
measurment = 7
measurment = 16
measurment = 17
measurment = 0
measurment = 94
measurment = 133
measurment = 2
measurment = 13
measurment = 0
measurment = 6
measurment = 83
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 5
measurment = 22526
measurment = 69
measurment = 61
measurment = 115
measurment = 100
measurment = 3
measurment = 0
measurment = 401770
measurment = 76
measurment = 48520
measurment = 14
measurment = 0
measurment = 54
measurment = 12
measurment = 1749
measurment = 0
measurment = 45
measurment = 4
measurment = 0
measurment = 22
measurment = 122
measurment = 11164
measurment = 10
measurment = 88
measurment = 79
measurment = 13
measurment = 95
measurment = 0
measurment = 174
measurment = 2
measurment = 113
measurment = 153
measurment = 94
measurment = 18
measurment = 245
measurment = 87
measurment = 9
measurment = 0
measurment = 20872
measurment = 152
measurment = 1943
measurment = 0
measurment = 11
measurment = 0
measurment = 39
measurment = 2
measurment = 0
measurment = 10143
measurment = 24
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
